artiest	titel	jaar	HP	99	00	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Queen	Bohemian Rhapsody	1975	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1
Billy Joel	Piano Man	1974	2	121	83	57	58	60	66	49	54	34	50	45	45	29	36	18	7	6	4	4	3	3	4	5	4	4	5	2
Eagles	Hotel California	1977	1	2	4	3	3	2	2	3	3	3	2	2	1	2	2	2	1	3	2	2	2	2	3	4	3	3	3	3
Coldplay	Fix You	2005	2	×	×	×	×	×	×	—	—	—	—	1494	235	69	40	20	15	10	11	8	9	8	8	11	5	5	2	4
Danny Vera	Roller Coaster	2019	1	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	4	1	2	2	2	4	5
Pearl Jam	Black	1991	6	—	—	—	—	—	—	—	—	—	—	803	452	40	24	16	12	12	10	6	7	7	6	9	7	7	10	6
Led Zeppelin	Stairway to Heaven	1971	3	4	3	4	4	4	4	5	5	5	5	4	5	5	3	3	3	5	3	3	4	5	5	7	6	6	7	7
Boudewijn de Groot	Avond	1997	1	428	121	41	25	8	5	1	2	2	3	3	3	4	5	5	5	7	6	9	10	6	7	10	8	8	8	8
Golden Earring	Radar Love	1973	6	23	21	21	27	27	12	13	16	23	17	24	16	18	18	24	26	31	22	21	27	23	33	6	15	13	20	9
Pink Floyd	Wish You Were Here	1975	5	—	45	25	29	20	21	16	8	14	12	9	6	7	6	6	6	9	9	7	5	10	9	13	11	11	12	10
Metallica	Nothing Else Matters	1992	8	—	—	1014	99	16	19	20	10	15	14	19	11	14	14	9	11	16	15	15	13	15	17	8	9	9	11	11
Dire Straits	Brothers in Arms	1985	7	28	22	7	9	11	15	19	20	19	13	21	19	15	11	11	14	15	19	17	15	17	18	18	14	12	18	12
Dire Straits	Sultans of Swing	1978	10	20	16	10	16	15	27	28	27	28	23	32	25	30	28	21	27	25	26	26	20	26	27	25	20	20	16	13
Queen	Love of My Life	1975	9	—	82	108	97	111	115	78	69	82	82	73	78	75	76	82	69	74	64	72	12	13	11	12	10	10	9	14
Pink Floyd	Comfortably Numb	1979	8	—	74	—	1356	358	53	25	19	17	34	15	13	12	10	8	8	11	16	12	14	16	19	22	13	14	15	15
Guns N' Roses	November Rain	1992	6	—	10	18	17	6	7	10	13	20	9	16	17	17	12	13	10	13	17	10	11	14	16	17	12	15	17	16
The Beach Boys	God Only Knows	1966	13	123	117	137	110	117	88	80	68	42	59	20	20	31	44	59	13	19	18	29	46	59	63	62	70	60	53	17
Racoon	Oceaan	2012	18	×	×	×	×	×	×	×	×	×	×	×	×	×	—	33	21	21	24	24	28	34	22	27	33	31	21	18
Dire Straits	Telegraph Road	1982	19	—	—	—	—	—	—	—	329	85	371	81	73	97	73	52	52	43	53	53	40	40	42	36	30	27	23	19
DI-RECT	Soldier On	2020	12	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	12	14	19	18	14	20
The Cure	A Forest	1980	21	—	44	82	67	61	62	87	85	71	71	68	69	76	42	50	49	41	40	42	71	44	39	40	36	30	22	21
Disturbed	The Sound of Silence	2016	13	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	×	518	54	39	18	20	19	18	16	13	22
Toto	Africa	1982	8	34	49	33	39	52	63	70	75	110	66	100	97	87	62	28	51	42	30	25	8	11	14	23	17	21	24	23
Deep Purple	Child in Time	1970	2	3	2	2	2	3	3	4	4	4	4	5	4	3	4	4	4	8	5	5	6	12	15	15	16	17	19	24
Pink Floyd	Shine On You Crazy Diamond	1975	7	—	50	47	33	26	25	12	14	21	19	13	15	16	7	10	9	14	20	22	18	22	28	29	27	25	25	25
Fleetwood Mac	Go Your Own Way	1977	25	64	67	73	71	69	79	77	94	102	85	63	67	71	81	41	30	40	43	33	42	43	41	45	25	39	39	26
Metallica	Master of Puppets	1986	27	—	—	—	—	—	—	—	—	—	—	—	—	—	—	—	1470	1140	109	93	89	85	88	65	29	32	33	27
Radiohead	Creep	1992	28	—	—	—	—	—	—	—	—	176	1018	283	130	129	116	115	102	117	75	65	87	83	62	66	57	50	54	28
Klein Orkest	Over de muur	1984	29	32	38	54	50	59	56	48	47	64	52	47	56	83	71	84	60	76	81	45	60	30	38	39	45	41	42	29
AC/DC	Thunderstruck	1990	13	—	—	—	—	—	—	—	—	—	—	1086	882	61	48	54	24	27	21	13	19	20	24	31	28	28	30	30
Fleetwood Mac	The Chain	1977	31	—	—	—	—	—	—	—	—	—	—	—	—	—	—	1835	551	465	520	252	157	149	109	77	40	45	35	31
Metallica	One	1994	13	—	—	—	—	478	23	40	30	13	35	31	34	32	20	14	18	20	25	23	23	21	30	26	22	26	27	32
